Fq (MHz),Relative Power,?,Radial Velocity (km/s)
1418.976953,0.021276,0.000268,79.303284
1418.978125,0.021387,0.000269,79.429787
1418.979297,0.021525,0.000271,79.574989
1418.980469,0.02165,0.000272,79.654312
1418.981641,0.021729,0.000274,79.429192
1418.982812,0.021831,0.000276,79.177078
1418.983984,0.021948,0.000277,79.16053
1418.985156,0.022075,0.000279,79.246918
1418.986328,0.022216,0.000279,79.523933
1418.9875,0.022308,0.000281,79.522621
1418.988672,0.022404,0.000283,79.17765
1418.989844,0.022553,0.000285,79.247002
1418.991016,0.022612,0.000286,79.153152
1418.992188,0.022708,0.000287,79.135818
1418.993359,0.022772,0.000289,78.92672
1418.994531,0.022821,0.00029,78.785416
1418.995703,0.022987,0.000291,79.01461
1418.996875,0.02314,0.000292,79.190422
1418.998047,0.023239,0.000294,79.04203
1418.999219,0.023398,0.000296,79.045067
1419.000391,0.023496,0.000297,79.05085
1419.001562,0.02355,0.000299,78.848007
1419.002734,0.023661,0.0003,78.969414
1419.003906,0.023757,0.0003,79.133392
1419.005078,0.023828,0.000303,78.754753
1419.00625,0.023961,0.000305,78.592491
1419.007422,0.024094,0.000306,78.764412
1419.008594,0.024201,0.000307,78.848442
1419.009766,0.024302,0.000308,78.884827
1419.010937,0.024402,0.00031,78.797432
1419.012109,0.024534,0.000312,78.677803
1419.013281,0.024645,0.000314,78.590828
1419.014453,0.024744,0.000314,78.721535
1419.015625,0.024906,0.000315,78.952263
1419.016797,0.02503,0.000317,78.988419
1419.017969,0.025114,0.000318,78.958893
1419.019141,0.025205,0.00032,78.824898
1419.020313,0.025307,0.000321,78.739395
1419.021484,0.025429,0.000323,78.748863
1419.022656,0.025534,0.000324,78.693016
1419.023828,0.025584,0.000326,78.501976
1419.025,0.025651,0.000328,78.2257
1419.026172,0.025798,0.000329,78.432465
1419.027344,0.025999,0.00033,78.890892
1419.028516,0.026144,0.00033,79.134651
1419.029687,0.026183,0.000332,78.852806
1419.030859,0.026236,0.000334,78.643402
1419.032031,0.026351,0.000335,78.662453
1419.033203,0.026531,0.000337,78.767685
1419.034375,0.026677,0.000338,78.829117
1419.035547,0.026778,0.00034,78.870209
1419.036719,0.026891,0.00034,78.975121
1419.037891,0.026989,0.000342,78.907509
1419.039062,0.027028,0.000344,78.577408
1419.040234,0.027065,0.000345,78.519493
1419.041406,0.027141,0.000346,78.488823
1419.042578,0.027268,0.000347,78.56871
1419.04375,0.027406,0.000349,78.62207
1419.044922,0.027482,0.000351,78.19075
1419.046094,0.027586,0.000354,78.023636
1419.047266,0.027735,0.000354,78.286575
1419.048437,0.027874,0.000355,78.543594
1419.049609,0.027967,0.000356,78.486343
1419.050781,0.028047,0.000358,78.373436
1419.051953,0.028095,0.000359,78.350441
1419.053125,0.028169,0.00036,78.250313
1419.054297,0.02834,0.000361,78.433632
1419.055469,0.028519,0.000363,78.489525
1419.056641,0.028597,0.000366,78.158363
1419.057812,0.02869,0.000367,78.264618
1419.058984,0.028838,0.000367,78.552956
1419.060156,0.02889,0.000368,78.398048
1419.061328,0.028977,0.000371,78.202858
1419.0625,0.029101,0.000372,78.170906
1419.063672,0.02919,0.000372,78.442261
1419.064844,0.029292,0.000373,78.528992
1419.066016,0.029334,0.000375,78.184998
1419.067188,0.029378,0.000377,77.900169
1419.068359,0.029568,0.000379,78.110901
1419.069531,0.029804,0.000379,78.576447
1419.070703,0.029949,0.00038,78.737007
1419.071875,0.029907,0.000382,78.197189
1419.073047,0.029964,0.000385,77.908943
1419.074219,0.030133,0.000385,78.221512
1419.075391,0.030217,0.000385,78.433815
1419.076562,0.0303,0.000385,78.624504
1419.077734,0.030355,0.000388,78.313286
1419.078906,0.030419,0.000389,78.111076
1419.080078,0.030563,0.000391,78.171097
1419.08125,0.030677,0.000393,78.100677
1419.082422,0.030761,0.000394,78.047798
1419.083594,0.030872,0.000395,78.181068
1419.084766,0.030919,0.000396,78.171944
1419.085938,0.030982,0.000397,78.131012
1419.087109,0.031041,0.000398,77.953186
1419.088281,0.031171,0.0004,77.892258
1419.089453,0.031297,0.000401,77.994781
1419.090625,0.031402,0.000402,78.172478
1419.091797,0.031517,0.000403,78.185471
1419.092969,0.031636,0.000405,78.164299
1419.094141,0.031775,0.000406,78.289528
1419.095312,0.031891,0.000407,78.407234
1419.096484,0.031946,0.000408,78.39399
1419.097656,0.032004,0.00041,78.133293
1419.098828,0.032049,0.000412,77.880966
1419.1,0.032118,0.000412,77.861908
1419.101172,0.032161,0.000414,77.741577
1419.102344,0.032313,0.000414,78.05011
1419.103516,0.032469,0.000414,78.454071
1419.104687,0.032513,0.000415,78.333664
1419.105859,0.032601,0.000417,78.27021
1419.107031,0.032717,0.000417,78.428871
1419.108203,0.032819,0.000419,78.36116
1419.109375,0.032895,0.000421,78.105995
1419.110547,0.032994,0.000422,78.174767
1419.111719,0.033139,0.000423,78.258957
1419.112891,0.033189,0.000426,77.927513
1419.114063,0.033178,0.000428,77.573799
1419.115234,0.033272,0.000429,77.58313
1419.116406,0.033417,0.000429,77.880089
1419.117578,0.033501,0.000429,78.110298
1419.11875,0.033534,0.00043,77.961693
1419.119922,0.03357,0.000432,77.747124
1419.121094,0.033644,0.000432,77.83007
1419.122266,0.033784,0.000432,78.148766
1419.123437,0.033961,0.000434,78.271339
1419.124609,0.033956,0.000436,77.882225
1419.125781,0.033929,0.000437,77.596832
1419.126953,0.034053,0.000438,77.73011
